,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
TD Ameritrade,tdameritrade.com,Subsidiary,['TD Ameritrade Holding Co.'],1971,,,"Omaha, Nebraska, United States",Nebraska,Omaha,XXLarge ($1B+),['Financial services'],"['Stockbroker', 'Electronic trading platform']","[' Thinktech', 'Thinkorswim', 'Scottrade', 'TD Ameritrade Network']",,"['Joe Ricketts', 'Steve Boyle (   and', 'Charles Schwab Corporation']","XLarge (5000-10,000 Employees)"
Iron Mountain (company),ironmountain.com,Public,,1951,IRM,,"Boston, Massachusetts, USA",Massachusetts,Boston,XXLarge ($1B+),"['Enterprise information management', 'Information storage']",,,,['William Meaney'],"XXLarge (10,000+ Employees)"
Oregon Community Credit Union,myoccu.org,Non-profit organization,,1956,,,"Eugene, Oregon, US",Oregon,Eugene,,"['Credit union', 'Banking']",['Personal & business banking'],,"['Oregon Community Credit Union', 'U-Lane-O Credit Union', 'Lane Federal Credit Union']","['Ron Neumann', 'Member-owned']",
Calgon Carbon,calgoncarbon.com,Subsidiary,['Kuraray'],1942,CCC,,"Pittsburgh, Pennsylvania",Pennsylvania,Pittsburgh,XLarge ($200MM-$1B),"['Water Treatment', 'Industrial Processing']",,,,['Stevan Schott ( /'],"Large (1,000-4,999 Employees)"
Wawa (company),wawa.com,Private,,1964,,,"Wawa, Pennsylvania, United States",Pennsylvania,United,XXLarge ($1B+),"['Convenience store', 'Fast food', 'Gas station']","['Beverages', 'Hoagies', 'Dairy products', 'Gasoline', 'Coffee', 'Prepared foods', 'Salads', 'Snacks']",,,"['Grahame Wood', 'Chris Gheysens']","XXLarge (10,000+ Employees)"
Johnny Cupcakes,johnnycupcakes.com,Privately held,,2001,,,"Weymouth, Massachusetts, United States",Massachusetts,Weymouth,,['Apparel'],"['Clothing, Accessories']",,,['Johnny Earle'],Small (10-49 Employees)
Bojangles%27 Famous Chicken %27n Biscuits,bojangles.com,Private,,1977,,,"Charlotte, North Carolina, United States",North Carolina,Charlotte,XLarge ($200MM-$1B),['Food'],"['biscuits', 'french fries', 'Fast food', 'fried chicken', ' including']",,['Bojangles'],"['Richard Thomas', 'Jordan Company', 'Durational Capital Management', 'Jackie Woodward', 'Brian Unger', 'Jack Fulk', 'Jose Armario']","XLarge (5000-10,000 Employees)"
Merrell (company),merrell.com,Subsidiary,['Wolverine World Wide'],1981,,,"Rockford, Michigan, US",Michigan,Rockford,,"['textile', 'Footwear']","['backpacks', 'sandals', 'jackets', 'athletic shoes', 'knit caps', 'Hiking boots', 'hoodies', 'socks', 'stuff sacks', 'bags', 't-shirts', 'shorts', 'gloves', ' and']",,,"['John Schweizer', 'Randy Merrell', 'Lou-Ann Merrell', 'Christopher Hufnagel', 'Clark Matis']",
Spyder (ski apparel brand),spyder.com,Subsidiary,['Authentic Brands Group'],1978,,,"Headquarters, Boulder, Colorado, United States, European central office based in, Baar ZG, Switzerland",Colorado,Boulder,,['Sports'],"[' Ski Clothing', 'Insulated Jackets']",,,['David L Jacobs'],
"Springettsbury Township, York County, Pennsylvania",springettsbury.com,,,,,,,,,,,,,,,
Gordmans,,Subsidiary,['Stage Stores'],1915,,True,"Houston, Texas, US",Texas,Houston,,['Retail'],"['Clothing, footwear, bedding, furniture, jewelry, beauty products, small kitchen appliances and housewares']",,"['Gordmans', 'Outfitters to the Family', 'Richman Gordman']","['Dan Gordman', 'Sam Richman']",
"Miller, Canfield, Paddock and Stone",millercanfield.com,,,,,,"Detroit, Michigan, United States",Michigan,Detroit,,,,,,"['Sidney Davy Miller', 'Megan P. Norris']",
Sundstrand Corporation,,Subsidiary,,1926,,True,"Rockford, Illinois",Illinois,Rockford,,"['Industrial Products', 'Aerospace']",,,['Hamilton Sundstrand'],"[' Oscar Sundstrand', 'Harry Stonecipher', 'Hugo L. Olson, Edwin Cedarleaf', 'David Sundstrand']",
Schering-Plough,,Subsidiary,['Merck & Co.'],1971,,True,"Kenilworth, New Jersey",New Jersey,Kenilworth,XXLarge ($1B+),['Pharmaceuticals'],,,,"['Final  &', 'Fred Hassan']",
Galena Biopharma,sellaslifesciences.com,Public GALE,,2006,,True,"San Ramon, California, United States",California,San Ramon,Small ($1MM-$10MM),['Biotechnology'],['NeuVax'],,['RXi Pharmaceuticals'],['Mark Schwartz'],Medium-Small (50-199 Employees)
VyStar Credit Union,vystarcu.org,Credit union,,1952,,,"Jacksonville, Florida",Florida,Jacksonville,,['Financial services'],"['underwriting', 'insurance', 'Savings', 'mortgages', 'consumer loans', 'online banking', 'checking', 'certification of deposits', 'retirement planning', 'money markets', 'financial counseling', 'credit cards', ';', 'investment services']",,,"['Brian Wolfburg,   &', 'P. Kem Siddons,  , Board of Directors']","Large (1,000-4,999 Employees)"
Dortch Enterprises,dortchenterprises.com,Private LLC,,1987,,,"Grand Blanc Township, Michigan, United States",Michigan,Grand Blanc,,['Restaurant'],"['restaurant equipment repair', 'sub sandwichs', 'Tacos']","['Dortch Subway Groups', 'Great Lakes Taco', 'Fix My Restaurants, LLC']",,"['Louis Dortch Jr. ( /', 'Matt Barcey (  president of operations)', 'Polly Dortch (marketing director)', 'Louis Dortch Sr.', 'Louis Dortch Jr.', 'Louis Dortch Sr. ( )']","Large (1,000-4,999 Employees)"
Inova Health System,inova.org,Not-for-profit Organization,,1956,,,,,,XXLarge ($1B+),['Hospitals and health care services'],,,"['Fairfax Hospital Association', 'INOVA Health System']","['J. Stephen Jones (  and', 'Steve Motew, MD, MHA (Chief Physician  )']","XXLarge (10,000+ Employees)"
Universal Corporation,universalcorp.com,,,1886,UVV,,"Richmond, Virginia",Virginia,Richmond,,,,,,,
MUFG Union Bank,unionbank.com,Subsidiary,['U.S. Bancorp'],1864,,,"Avenue of the Americas, New York City, United States",New York,Avenue,XXLarge ($1B+),['Banking'],,,,"['Kevin Cronin', 'Kaspare Cohn', '(  and Head of Regional Banking)', '(   )', 'Masatoshi Komoriya', 'Greg Seibly']","XXLarge (10,000+ Employees)"
PepsiCo,pepsico.com,Public,,1898,PEP,,"Donald M Kendall Sculpture Gardens, Harrison, New York, US",New York,Donald,XXLarge ($1B+),"['Beverages', 'Food processing']",['See list of PepsiCo products'],['List of subsidiaries'],['PepsiCo'],"['(for the Pepsi-Cola Company branch)', 'Caleb Bradham', 'Ramon Laguarta', '(  and']","XXLarge (10,000+ Employees)"
Fishbowl Inventory,fishbowlinventory.com,Private,,2001,,,"Orem, Utah, United States",Utah,Orem,,['Software'],['Inventory Management Software'],,,,Medium-Small (50-199 Employees)
Gardner Denver,irco.com,Public,,1859,IR,,"Davidson, North Carolina, US",North Carolina,Davidson,XXLarge ($1B+),['Diversified Machinery'],"['Compressor, vacuum and blower solutions; specialized gas and fluid management systems; liquid and precision pumps and compressors; power tools and lifting equipment']","['Precision and Science Technologies', 'Industrial Technologies and Services']",,"['and', 'Addison Rand', 'Simon Ingersoll', 'Vicente Reynal', 'Jasper Rand, Jr.', 'Robert Gardner']","XXLarge (10,000+ Employees)"
Flowers Foods,flowersfoods.com,Public,,1919,FLO,,"Thomasville, Georgia, US",Georgia,Thomasville,XXLarge ($1B+),['Packaged bakery products'],"['Sunbeam', ""Dave's Killer Bread"", "" Mrs. Freshley's, Blue Bird, Mi Casa, Cobblestone Mill"", 'Tastykake', 'Wonder Bread', "" Nature's Own, Whitewheat""]",,,['George E. Deese (Non-executive   of the Board); A. Ryals McMullian (  and'],"XLarge (5000-10,000 Employees)"
West Air (United States),westair.net,,,1988,,,"Fresno, California, United States",California,Fresno,,,,,,['Tom Jordan'],
Autodesk,autodesk.com,Public,,1982,ADSK,,"One Market Plaza, San Francisco, California, US",California,Plaza,XXLarge ($1B+),"['media & entertainment', 'manufacturing & industrial', 'Software', 'bioscience']",['See § Products'],,,"['Andrew Anagnost', 'Crawford W. Beveridge', 'John Walker', ' Dan Drake']","XXLarge (10,000+ Employees)"
Atari,atari.com,,,,,,,,,,,,,,['Atari SA'],
Associated Wholesalers,inc.website,Retailers' cooperative,,1962,,True,"Robesonia, Pennsylvania",Pennsylvania,Robesonia,XXLarge ($1B+),['Food Distribution'],,,,"['Matthew Saunders,   and', 'David Lieb,  , Finance', 'Joyce Fasula.']","Large (1,000-4,999 Employees)"
Intech Contracting,intechcontracting.com,Private,,1991,,,"Lexington, Kentucky, United States",Kentucky,Lexington,,['Construction & Engineering'],"['Heavy construction', 'Project Management', 'Engineering', 'Bridge Inspection Support', 'Bridge Renovation']",,,['David Houchin'],
Montgomery Ward,wards.com,Original incarnation Private mail order department store Current incarnation Online retailer catalog merchant,,1872,,True,"Original company, Chicago, Illinois, United States, Namesake company, Monroe, Wisconsin, United States",Illinois,Chicago,,['Retail'],"['Airline', 'Powr-Kraft', 'Clothing, footwear, bedding, furniture, jewelry, beauty products, appliances, housewares, tools, and electronics.', 'Riverside']","['Montgomery Wards Auto Express', 'Montgomery Ward Catalog', 'Wards Kids', 'Electric Avenue']",,"['Colony Brands', ': 1872 founder', 'Namesake company', 'Original company', ': John Baumann, president of parent company', 'Aaron Montgomery Ward']",
Speed (TV network),speedtv.com,,,,,,"Charlotte, North Carolina",North Carolina,Charlotte,,,,,,['21st Century Fox'],
Transamerica Corporation,transamerica.com,Private,['Aegon'],1928,,,"Baltimore, Maryland, US",Maryland,Baltimore,,"['Insurance', 'Investments', 'Retirement planning']","[' Investment & Retirement services', 'Life insurance']",,,"['Will Fuller', ' founder', 'A.P. Giannini']","XXLarge (10,000+ Employees)"
Aveda,aveda.com,Subsidiary,['Estée Lauder Companies'],,,,Minneapolis,,Minneapolis,,['Cosmetics'],"['Skin care, makeup, fragrance and hair care']",,,['Horst Rechelbacher'],
Qurate Retail Group,qurateretailgroup.com,Public company,,1991,QRTEA,,"West Chester, Pennsylvania, US",Pennsylvania,West Chester,XXLarge ($1B+),"['Media', 'holding company']",,['List of divisions'],"['Liberty Interactive Corporation', 'Liberty Media']","['David Rawlinson II', 'Jeffery A. Davis', 'John C. Malone']","XXLarge (10,000+ Employees)"
Boston Market,bostonmarket.com,Private,,1985,,,"Golden, Colorado, United States",Colorado,Golden,XLarge ($200MM-$1B),"['Restaurants', 'Fast casual']","['Pot pies', 'Meatloaf dishes', 'Turkey dishes', 'Desserts', 'Soups', 'sandwiches', 'Chicken dishes', 'Soft drinks', 'Salads', 'ribs', 'Rotisserie chicken']",,"['Boston Chicken', 'Boston Market']","['Steven Kolow', 'Jay Pandya', 'Arthur Cores', 'Engage brands LLC, Rohan Group, (Jay Pandya)', 'Owner']","XXLarge (10,000+ Employees)"
Stage Stores,,,['BrandX.com'],1988,,True,"Houston, Texas",Texas,Houston,Micro ($0-$1MM),['Retail'],"['Apparel, Accessories, Cosmetics, Footwear, and Housewares']",,,"['Steve Williams', 'CIO', 'BrandX.com', 'William J. Montgoris (Non-', '', 'Michael L. Glazer']","XXLarge (10,000+ Employees)"
Lake Express,lake-express.com,,,2004,,,"Milwaukee, United States",,Milwaukee,,['Shipping'],"['Freight transportation', 'Passenger transportation']",,,['Ken Szallai'],
Medrad Inc.,,Bayer Affiliate,,1964,,,"Warrendale, Pennsylvania",Pennsylvania,Warrendale,,,,,,"['CAO', 'Sam Liang', ' Gary Bucciarelli']","Large (1,000-4,999 Employees)"
Associated Grocers of Florida,agfla.com,Privately held Cooperative,,1945,,,"Pompano Beach, FL, US",Florida,Pompano Beach,,,,,,"['', 'Loly Pinilla', '     Sales', 'Christopher Miller', 'Gregg Young', '   Assistant', 'Jose Capellades', '     Export']",
Holley Performance Products,holley.com,Public company,['Sentinel Capital Partners'],1896,HLLY,,"Bowling Green, Kentucky, United States",Kentucky,Bowling Green,,['Automotive aftermarket'],"[""ACCEL, ADS Racing Shocks, AEM, AEM EV, Amp'd, Anvil Off-Road, APR, B&M, Baer Brakes, Brawler, Bright Earth, Brothers Trucks, Carrol Shelby Wheels, CataClean, Classic Instruments, Demon, Detroit Speed, DiabloSport, Dinan, Drake Muscle Cars, Earl's, Edge, Fender Gripper, Flowmaster, Flowmonster, Flowtech Exhaust, Frostbite Cooling, GearFX Driveline, Halibrand, HANS, Hays, Hilborn, HK Wheels, Holley Classic Trucks, Holley EFI, Holley iNTECH, Holley RetroBright, Hooker, Hooker Blackheart, Hurst, Lakewood, Legendary Wheels, Mallory, Mr. Gasket, MSD, MSD Atomic, MSD Dynaforce, NOS, OG Innovations, ProConnect, Proforged, Pulsar, Quick Fuel Technology, Quick Time, Racepak, RaceQuip, Range Technology, REKUDO, REV Wheels, Rocket Racing Wheels, Scott Drake, Simpson Racing, Sniper, SPAL Fans, Speartech, Stilo, Street Fire, STS Turbo, Superchips, Weiand, White Box, XDR""]",,,"['George Holley and Earl Holley', 'Michelle Gloeckler (   and']",
Wabtec,wabteccorp.com,Public,,1999,WAB,,"Pittsburgh, Pennsylvania, United States",Pennsylvania,Pittsburgh,XXLarge ($1B+),['Rail industry'],"['Rail braking systems, locomotives, air condition and heat exchanging systems, other rolling stock components', 'Locomotive servicing, overhaul and repair']","['MotivePower', 'GE Transportation', 'Faiveley Transport']",['Wabtec Corporation'],"['Albert J. Neupaver', 'Rafael Santana (president', '\u200b\xa0president and', '\u200b\xa0and', 'Patrick D. Dugan (senior vice', '\u200b\xa0(chairman)']","XXLarge (10,000+ Employees)"
SkyValue,skyvalue.com,,,2006,,,"Fort Lauderdale, Florida",Florida,Fort Lauderdale,,,,,,"['Gabrielle Griswold Brandt( Senior      )', 'Robert Masson ( )', 'Donald Millroy ()']",
Land O%27Lakes,landolakesinc.com,Agricultural cooperative,,1921,,,"Arden Hills, Minnesota, US",Minnesota,Arden,XXLarge ($1B+),['Food and agriculture'],"['Dairy foods', ' seed and crop protection', 'animal nutrition']",,,"['(  &', 'Beth Ford']","XLarge (5000-10,000 Employees)"
Black-eyed Pea (restaurant),,Restaurant,,1975,,,"Houston, Texas, and, Denver, Colorado",Texas,Houston,,['Food'],['American Food & Spirits'],,,,
Watco,,,,,,,"Pittsburg, Kansas",Kansas,Pittsburg,,,,,,,
Round Table Pizza,roundtablepizza.com,Subsidiary,['FAT Brands'],1959,,,"Atlanta, Georgia, United States",Georgia,Atlanta,,,"['salads', 'chicken wings', 'Pizza']",,,"['Paul Damico (', 'William R. Larson']",
CoreStates,,,,1803,,True,Philadelphia,,Philadelphia,,['Bank holding company'],['Financial services'],,"['/', 'Wachovia', 'Wells Fargo', '(formerly', 'First Union']",,
Urban One,urban1.com,Public,,1980,UONE,,"Wayne Avenue, Silver Spring, Maryland, United States",Maryland,Wayne,XXLarge ($1B+),"['Media', 'Broadcasting']",,"['Interactive One', 'Reach Media', 'NewsOne', 'TV One']","['Radio One, Inc.']","['(  &', 'Cathy Hughes', 'Alfred C. Liggins III']","Large (1,000-4,999 Employees)"
FUBU,fubu.com,,,1992,,,"New York City, New York, United States",New York,New York,,"['Clothing, hip hop apparel']","['sports wear', 'Casual wear', 'eyewear', 'suit collection', 'belts', 'shoes']",,,"['Keith C. Perrin', 'Daymond John', 'Carlton E. Brown', 'J. Alexander Martin']",
Workfront,,Private,,2001,,,"Lehi, Utah",Utah,Lehi,XLarge ($200MM-$1B),"['SaaS', 'Project management software', 'Collaborative software']",['Enterprise Work management software'],,,"['Scott Johnson', '', 'Alex Shootman']",Medium-Large (500-999 Employees)
Teradata,teradata.com,Public,,1979,TDC,,"San Diego, California, US",California,San Diego,XXLarge ($1B+),['Software'],"['Data warehousing', 'tools', 'Analytics', 'Big data']",,,['Steve McMillan'],"XLarge (5000-10,000 Employees)"
Cleveland-Cliffs,clevelandcliffs.com,Public company,,1847,CLF,,"Public Square, Cleveland, Ohio, United States",Ohio,Cleveland,XXLarge ($1B+),"['Direct reduced iron', 'Steel', 'Iron ore']","['Stainless steel', 'Steel', 'pellets', 'Direct reduced iron', 'Iron ore']","['Lake Superior and Ishpeming Railroad', 'AK Steel Holding']",,"['C. Lourenco Goncalves', 'Keith A. Koci', 'Clifford T. Smith', 'associates', 'Samuel Mather']","XXLarge (10,000+ Employees)"
PPG Industries,ppg.com,Public,,1883,PPG,,"Pittsburgh, Pennsylvania, US",Pennsylvania,Pittsburgh,XXLarge ($1B+),['Chemicals'],"['Decorative paints', 'Coatings', 'Chemicals', 'Industrial finishing products']",,['Pittsburgh Plate Glass Company'],"['John Pitcairn Jr.', 'John Baptiste Ford', 'Tim Knavish']","XXLarge (10,000+ Employees)"
Lowes Foods,lowesfoods.com,Subsidiary,['Alex Lee Inc.'],1954,,,"WinstonSalem, North Carolina, United States",North Carolina,WinstonSalem,XXLarge ($1B+),['Retail'],"['Grocery, deli, bakery, meat, seafood, produce, dairy, floral']","['Just $ave', ""KJ's Market"", 'IGA Southeast']",,"['Tim Lowe', 'Jim Lowe']","XLarge (5000-10,000 Employees)"
