,Website,Type,Parent,Founded,Ticker,is_defunct,HQ,HQ State,HQ City,Net Worth,Industry,Products_and_Services,Subsidiaries,Aliases,People,Number of employees
PBS,pbs.org,Non-commercial Free-to-air television network Public broadcaster,,1969,,,"Crystal City, Arlington, Virginia, US",Virginia,Crystal City,,,,,,"['Kenneth A. Christiansen', ""PBS's member public television stations"", 'Jonathan Barzilay', 'John Macy', 'Hartford N. Gunn Jr.', 'James Day', 'Paula Kerger']",
Sunglass Hut International,sunglasshut.com,Public,['Luxottica'],1971,,,,,,,['Retail - specialty'],"['Sunglasses, watches, sunglass accessories']",,,['Sanford L. Ziff'],"XXLarge (10,000+ Employees)"
Kleiner Perkins,kleinerperkins.com,Private,,1972,,,"Menlo Park, California, US",California,Menlo Park,,['Venture capital'],['Investments'],,['Kleiner Perkins Caufield & Byers (KPCB)'],"['Frank J. Caufield', 'Eugene Kleiner', 'Thomas Perkins', 'Brook Byers']",
Federated Investors,federatedhermes.com,Public,,1957,FHI,,"Federated Tower, Pittsburgh, Pennsylvania, United States",Pennsylvania,Tower,XXLarge ($1B+),['Financial services'],['mutual funds'],,,"['John F. Donahue', 'J. Christopher Donahue,   and', 'Thomas Donahue', ' Co-founder']","Large (1,000-4,999 Employees)"
The Eyrie Vineyards,eyrievineyards.com,,,1965,,,,,,,,,,,['David Lett'],
Chautauqua Airlines,,,,1973,,,"Indianapolis, Indiana, USA",Indiana,Indianapolis,,,,,,['Bryan Bedford'],
VT Mobile Aerospace Engineering,vtmae.com,Subsidiary,['VT Systems'],1990,,,"Mobile, Alabama, United States",Alabama,Mobile,,['Aerospace'],"['Aircraft engineering, maintenance, and modifications.']",,,"['Tommy Heaton, Senior Recruiter']","Large (1,000-4,999 Employees)"
Verizon Wireless,verizon.com,Division,['Verizon Communications'],2000,,,"Basking Ridge, New Jersey, US",New Jersey,Basking Ridge,,['Telecommunications'],"['Wireless broadband', 'Mobile telephony']","['TracFone', 'Visible by Verizon']",['Bell Atlantic'],"['Hans Vestberg', 'Verizon Communications', 'Vodafone', '(, Verizon Communications)']",
Maxwell Technologies,maxwell.com,Subsidiary,['Ucap Power'],1965,,,"Cornerstone Court East, Ste , San Diego, CA",California,San Diego,Medium-Large ($50MM-$100MM),['Energy storage'],"['High-voltage capacitors', 'Ultracapacitors', 'Backup power', 'Power modules', 'systems', 'Engine Start Module (ESM)']",,,,
Merck %26 Co.,merck.com,Public company,,1891,MRK,,"Rahway, New Jersey, US",New Jersey,Rahway,XXLarge ($1B+),['Pharmaceutical industry'],"['Pharmaceuticals', 'over-the-counter drugs', 'contact lenses', 'Veterinary medicine', 'generic drugs', 'diagnostics', 'vaccines']",,,"['(   ,   and', 'Robert M. Davis', 'George Merck', 'Theodore Weicker']","XXLarge (10,000+ Employees)"
Pietro%27s Pizza,pietrosrestaurants.com,,,1957,,,"Milwaukie, Oregon",Oregon,Oregon,,"['restaurants', 'Fast food']",['Pizza'],,,,
Riot Games,riotgames.com,Subsidiary,['Tencent'],2006,,,"Los Angeles, US",,Los Angeles,,['Video games'],"['League of Legends: Wild Rift', 'Valorant', 'Legends of Runeterra', 'League of Legends', 'Teamfight Tactics']","['Riot Tabletop', 'Riot Sydney', 'Riot Forge', 'Riot Games Entertainment', 'Radiant Entertainment', 'Hypixel Studios']",,"['Brandon Beck', 'Brandon Beck (co-', 'Nicolo Laurent', 'Mark Sottosanti', 'Dylan Jadeja', 'Marc Merrill', 'Marc Merrill (co-chairman)', 'chairman']","Large (1,000-4,999 Employees)"
"Kaplan, Inc.",kaplan.com,Subsidiary,['Graham Holdings Company'],1938,,,"Fort Lauderdale, Florida",Florida,Fort Lauderdale,XXLarge ($1B+),['Education'],"['Test Preparation, Educational Training']","['Kaplan International', 'Kaplan North America']",,"['Andrew Rosen', '\u200b\xa0CEO)', '(chairman and', 'Graham Holdings Company', 'Stanley Kaplan']","XXLarge (10,000+ Employees)"
"Mechanicsburg, Pennsylvania",mechanicsburgpa.org,,,,,,,,,,,,,,,
JBS USA,jbssa.com,Subsidiary,['JBS S.A.'],1855,,,"Greeley, Colorado, US",Colorado,Greeley,XXLarge ($1B+),['Meatpacking'],,"['Plumrose USA', ""Pilgrim's"", 'Primo Smallgoods']",,"['Tim Schellpeper', 'Gustavus Franklin Swift']","XXLarge (10,000+ Employees)"
Earth Fare,earthfare.com,Corporation,,1975,,,"Asheville, North Carolina",North Carolina,Asheville,,['Natural Foods'],"['Specialty, Local, Organic & Natural Foods']",,"['Reopened June 22, 2020']",,"Large (1,000-4,999 Employees)"
"Dyersburg, Tennessee",dyersburgtn.gov,,,,,,,,,,,,,,,
Centocor,janssen.com,,['Johnson & Johnson'],1953,,,"Turnhoutseweg, Beerse, Belgium",,Belgium,,['Pharmaceutical'],,,,"['Paul Janssen', 'Jennifer Taubert']",Small (10-49 Employees)
Collins Aerospace,collinsaerospace.com,Subsidiary,['Raytheon Technologies'],2018,,,"Charlotte, North Carolina, United States",North Carolina,Charlotte,XXLarge ($1B+),"['industrial', 'Aerospace']","['Engineering services, repair services, spare parts, technical support', 'Actuation systems, aerostructures, airport services, avionics, cabin management, communications, displays, electric systems, electronic warfare systems, engine components, engine & control systems, interiors, landing gear, navigation, propeller systems, sensors & integrated systems, simulation & training, space systems, wheels & brakes']","['Aerostructures, Avionics, Interiors, Mechanical Systems, Missions Systems, Power & Controls']",,,"XXLarge (10,000+ Employees)"
Brinks Home Security,brinkshome.com,Public,,1994,SCTY,,"Dallas, Texas",Texas,Dallas,XLarge ($200MM-$1B),['Home security services'],,,"['MONI Smart Security, SafeMart, LiveWatch']","['from March 2020)', 'William E. Niles']","Large (1,000-4,999 Employees)"
Teton Gravity Research,tetongravity.com,Multi-media company,,,,,"Jackson Hole, WY, USA",Wyoming,Jackson,,['Action sports'],"['advertising, marketing, brand placement, cinematography, production of commercial television, film, and custom digital content', 'advertisements, product promotionals, online media, consumer products, action sports films, live events']",,,"['Steve Jones, Todd Jones, Dirk Collins, Rick Armstrong, Corey Gavitt']",
Ethan Allen (furniture company),ethanallen.com,Public,,1932,ETD,,"Danbury, Connecticut, US",Connecticut,Danbury,XLarge ($200MM-$1B),['Furniture and home interiors'],,"['Ethan Allen Global, Inc.']",,"['Chmn.', 'Farooq Kathwari', 'Pres.', 'Nathan S. Ancell', 'Theodore Baumritter']","Large (1,000-4,999 Employees)"
George Schlegel Lithographing Co.,,,,,,,New York,New York,New York,,['Printing company'],,,,['Four generations of German businessmen'],
UTStarcom,utstar.com,Public,,1991,UTSI,,"Beijing, China",,China,Large ($100MM-$200MM),['Telecommunications equipment'],"['SDN', 'Packet optical networking equipment', 'products', 'broadband access', 'wireless']",,,"['Hong Liang Lu', 'Ying Wu', 'Steven Chen', 'Tim Ti', 'Zhaochen Huang']",Medium-Large (500-999 Employees)
Halo Burger,haloburger.com,Private LLC,,,,,"Burton, Michigan, United States",Michigan,Burton,,['Fast food'],"['Chicken', 'Milkshakes', 'Fish', 'Hamburgers', 'French Fries']",,['Halo Burger'],"['(, Halo Country, LLC)', 'Paul Warren', 'Samuel V. Blair', 'Jim Sutherland', '(Halo Country )', 'Chance Richie', '(Director of Operations)']",Medium (200-499 Employees)
Fremont Motors Corporation,fremontmotors.com,Private,,1938,,,"Lander, Wyoming, United States",Wyoming,Lander,,['Automobile'],"['Buick', 'Dodge', 'Toyota', 'Chrysler', 'Ford', 'Fiat', ' Pre-Owned Vehicles', 'GMC', 'Ram', 'Chevrolet', 'Lincoln', 'Auto maintenance, sales, leasing', 'Jeep', 'Volkswagen']",,,"['Clyde Guschewsky', 'Arin Emmert', 'Cathy Guschewsky']",Medium (200-499 Employees)
RSI Corporation,rsicorp.com,,,,,,"Main Street, Kiowa, Kansas",iowa,Street,,,,,,"['Steve Walz', 'Miranda Walz-Allen']",
Papa John%27s Pizza,papajohns.com,Public,,1984,PZZA,,"Jeffersontown, Kentucky, US, Cumberland, Georgia, US",Kentucky,Cumberland,Micro ($0-$1MM),['Restaurant'],"['dessert', 'chicken wings', 'Pizza']",,['Papa Johns'],"['Max Wetzel', 'Jim Norberg', 'John Schnatter', 'Robert M. Lynch', '(  &', '()']","XXLarge (10,000+ Employees)"
Longs Drugs,,,,1938,,True,"Woonsocket, Rhode Island, home of parent company CVS Health",Rhode Island,Woonsocket,,,"['health and beauty aids', 'snacks', '1 hour photo', 'cosmetics', 'Pharmacy', 'general merchandise']",,,,
Tea Fort%C3%A9,teaforte.com,Private,,,,,"Maynard, MA, United States",Massachusetts,Maynard,,['Beverage'],"['Tea', ' Jardin, Fleur, Wellbeing, Tea-Over-Ice', 'Herbal teas']",,,,
Wrong Planet,,,,,,,,,,,,,,,['Alex Plank'],
Universal Lighting Technologies,,,['Atar Capital'],1947,,,"Nashville, Tennessee, United States",Tennessee,Nashville,,"['Ballast', 'manufacturing']","['Lighting Controls', 'Lighting']",,,,"Large (1,000-4,999 Employees)"
Eastman Chemical Company,eastman.com,Public,,1920,EMN,,"Kingsport, Tennessee, US",Tennessee,Kingsport,XXLarge ($1B+),['Manufacturing'],"['Plastics', 'Chemicals', 'Fibers']",,,"['George Eastman', 'Mark J. Costa']","XXLarge (10,000+ Employees)"
Flight Alaska,yuteair.net,,,1956,,,"Anchorage, Alaska, USA",Alaska,Anchorage,,,,,,['Tim Votis'],
SunTrust Banks,suntrust.com,Subsidiary,,1985,STI,True,"SunTrust Plaza, Peachtree Street, NE, Atlanta, Georgia, United States",Georgia,Plaza,,['Banking'],['Financial services'],,['Truist Financial'],"['William H. Rogers Jr.', 'and']","XXLarge (10,000+ Employees)"
Enli Health Intelligence,,Private,,2001,,True,"Beaverton, Oregon, USA, N, W, N W",Oregon,Beaverton,Medium-Small ($10MM- $50MM),['Software'],['Secure messaging'],,,[' Luis Machuca'],Medium-Small (50-199 Employees)
Columbia Helicopters,colheli.com,Private,,1957,,,"Aurora, Oregon, US",Oregon,Aurora,,['Aerospace'],['Commercial helicopters'],"['Columbia Helicopters, New Zealand, LTD', 'Helifor']",,"['Stan Wilson,   of the Board', 'former', 'Wes Lematta, founder', 'current', 'Steve Bandy', '&', 'Michael Tremlett']",
H%26R Block,hrblock.com,Public,,1955,HRB,,"Kansas City, Missouri, US",Kansas,Kansas City,XXLarge ($1B+),,"['Tax preparation', 'Business services']",,,"['Tony G. Bowen', 'Henry W. Bloch', 'Jeffrey J. Jones II', '(  of the Board)', '(  &', 'Richard Bloch', '()', 'Robert A. Gerard']","Large (1,000-4,999 Employees)"
State Street Corporation,statestreet.com,Public company,,1792,STT,,"One Lincoln Street, Boston, Massachusetts, US",Massachusetts,Lincoln,XXLarge ($1B+),['Financial services'],"['stock', 'foreign exchange market', 'Securities services', 'trading', 'Investment management']",,"['State Street Boston Corporation', 'State Street Boston Financial Corporation']","[""Ron O'Hanley"", 'Joseph L. Hooley', '(  and']","XXLarge (10,000+ Employees)"
Vontier,vontier.com,Public company,,,VNT,,"Raleigh, North Carolina, US",North Carolina,Raleigh,XXLarge ($1B+),,,"['Matco Tools', 'Teletrac', 'Gilbarco Veeder-Root']",,"['Mark Morelli,   and', 'Karen Francis']","XLarge (5000-10,000 Employees)"
RPM International,rpminc.com,Public,,1947,RPM,,"Medina, Ohio, United States",Ohio,Medina,XXLarge ($1B+),"['Sealants', 'Adhesives', 'Industrial coatings', 'Paint', 'Coatings', 'Building Materials']",,,,"['()', '(  and', 'Frank C. Sullivan', 'Russell L. Gordon']","XXLarge (10,000+ Employees)"
Moog Music,moogmusic.com,Corporation,,1953,,,"Asheville, North Carolina, US",North Carolina,Asheville,,,"['Signal processing', 'Synthesizers', 'Musical instruments']",,['R. A. Moog Co.'],"['Robert Moog', ' founder', 'Mike Adams, president']",
Sikorsky Aircraft,sikorsky.com,Subsidiary,['Lockheed Martin'],1923,,,"Stratford, Connecticut, United States",Connecticut,Stratford,,"['Defense industry', 'Aviation']","['Helicopters, other aircraft']","['Elmira-Corning Regional Airport', ' US (founded 1977)', 'PZL Mielec', 'West Palm Beach, Florida', 'Hawk Works (Rapid Prototyping and Military Derivatives Completion Center)', 'Schweizer Aircraft', 'Sikorsky Development Flight Centre', 'Big Flats (CDP), New York', 'at', ' US (founded 2007)', '(closed 2012)']",,"['Dan Schultz', 'Igor Sikorsky']","XXLarge (10,000+ Employees)"
Garmin,garmin.com,Public,,1989,GRMN,,"Olathe, Kansas, US operations, Schaffhausen, Switzerland legal domicile",Kansas,Olathe,XXLarge ($1B+),['Technology'],"['(see', 'GPS', 'receivers', 'wearable technology', 'list of products', 'avionics']","['DeLorme', 'FUSION Entertainment', 'Dynastream Innovations', 'Garmin International Inc., Garmin (Asia) Corporation', 'Navigon', 'Tacx', 'Navionics']",,"['Min Kao ( )', 'Doug Boessen', 'Cliff Pemble (  &', 'Min Kao', 'Gary Burrell']","XXLarge (10,000+ Employees)"
Abeka,abeka.com,Private,['Pensacola Christian College'],1972,,,"Pensacola, Florida",Florida,Pensacola,Micro ($0-$1MM),['Educational publishing'],,,,"['(founder)', 'Arlin Horton']",
Whataburger,whataburger.com,Private,,1950,,,"San Antonio, Texas, US",Texas,San Antonio,XXLarge ($1B+),"['Fast food', 'Restaurant']","['• \xa0•', 'Chicken sandwiches', '•', 'Milkshakes', 'Hamburgers', 'French fries']",,,"['Minority Owner (June 14, 2019- Present)', 'Joe Shannon (  &', 'BDT Capital', 'Harmon Dobson', 'Peggy Rubenzer', 'CDO', ' Paul Burton', 'CAO', 'Ed Nelson (  &', 'Rich Scheffler (  &', 'Janelle Sykes (  &', 'CIO', 'Family owned by Tom, Lynne and Hugh Dobson', 'CLO', 'Majority Owned (August 8, 1950–June 14, 2019)', 'James Turcotte (  &', 'Majority Owner (June 14, 2019–present)', 'Alexander Ivannikov (  &', 'Debbie Stroud', 'Elena Kraus (  &']","XXLarge (10,000+ Employees)"
Neoware,neoware.com,Public,,1992,,,"King of Prussia, Pennsylvania",Pennsylvania,King,,['Computer Systems'],['Thin clients'],,['Hewlett-Packard'],['Klaus Besier'],
Marriott Vacations Worldwide Corporation,,Public,,,VAC,,"Orlando, Florida, US",Florida,Orlando,XXLarge ($1B+),"['Hospitality', 'Tourism']",,"['Interval International', 'Aqua-Aston Hospitality']",,['John E. Geller Jr. ('],"XXLarge (10,000+ Employees)"
Guess (clothing),guess.com,Public,,1981,GES,,"Los Angeles, California, US",California,Los Angeles,XXLarge ($1B+),['Fashion'],"['Clothing', 'accessories']",,,"['Armand Marciano', 'Alexander Grujicic (Head Designer)', 'Maurice Marciano', 'Georges Marciano', 'Paul Marciano', 'Maurice Marciano (Director)', 'Chairperson', 'Carlos Alberini', 'Paul Marciano', 'CCO']","XXLarge (10,000+ Employees)"
Sierra Trading Post,sierra.com,Subsidiary,['TJX Companies'],1986,,,"Framingham, Massachusetts, US, N, W, N W",Massachusetts,Framingham,,['Retail'],"['Outdoor recreation, fitness and adventure gear, apparel, footwear, clothing, home décor']",,"['Sierra Trading Post', 'Sierra', '[a]']",,Medium-Large (500-999 Employees)
First County Bank,firstcountybank.com,,,,,,"Stamford, Connecticut, US",Connecticut,Stamford,XXLarge ($1B+),['Finance'],,,,,
Ciber,ciber.com,Private,,1974,,,"Troy, Michigan",Michigan,Troy,,"['Technology consulting, outsourcing services']","['Technology and business consulting, application management, talent services']",,,"['Madhava Reddy (president and , Chary Mudumby (Chief Technology Officer)']",
SilencerCo,silencerco.com,,,2008,,,"West Valley City, Utah, United States",Utah,West Valley City,,"['Firearms', 'Small arms ammunition', 'Suppressors']",,,,"['Jonathon Shults', 'Josh Waldron']",Medium (200-499 Employees)
Tennessee Valley Authority,tva.com,State-owned enterprise,,1933,,,"Knoxville, Tennessee, US",Tennessee,Knoxville,XXLarge ($1B+),['Electric utility'],,,,"['Arthur Morgan', 'William Kilbride, Chair', 'Harcourt Morgan', 'Jeff Lyash', 'David Lilienthal', 'Federal government of the United States']",
Penn State Milton S. Hershey Medical Center,pennstatehealth.org,Teaching hospital,,,,,,,,,,,,,,
The Bon-Ton,bonton.com,Public Expert Market BONTQ Private,,1898,,True,"New York, New York",New York,New York,XXLarge ($1B+),['Retail'],"['Clothing, footwear, bedding, furniture, jewelry, beauty products, and housewares']","[""Carson's"", ""Bergner's"", 'Elder-Beerman', 'Younkers', 'Boston Store', ""Herberger's""]",,"['Deepak Ramani', 'BrandX.com', '( , 2018–2021)', 'Samuel Grumbacher', 'Jordan Voloshin', 'CSC Generation', 'Max Grumbacher', '( , 2021–present)']","XXLarge (10,000+ Employees)"
Raycom Media,,Private,,1996,,True,"Montgomery, Alabama, US",Alabama,Montgomery,XXLarge ($1B+),"['Television production', 'Broadcast television']",,"['Broadview Media', 'Tupelo Raycom', 'RTM Productions', 'Pure Cars', 'Raycom Sports', 'Community Newspaper Holdings']",['Gray Television'],"['Pat LaPlatney', '(  &']","XLarge (5000-10,000 Employees)"
Zimmer Holdings,zimmerbiomet.com,Public,,1927,ZBH,,"Warsaw, Indiana, US",Indiana,Warsaw,XXLarge ($1B+),,,,"['Zimmer Holdings, Inc.']","['Bryan C. Hanson (', 'Justin O. Zimmer']","XXLarge (10,000+ Employees)"
Commerce Bancorp,,,,1973,,True,"Cherry Hill, New Jersey, US",New Jersey,Cherry Hill,,['Bank holding company'],['Financial services'],,"['TD Bank, N.A.']",,
WellSpan Health,wellspan.org,Private (not-for-profit),,1880,,,United States,,United,,,,,,,"XXLarge (10,000+ Employees)"
Sedano%27s,,Private,,1961,,,"Miami, Florida",Florida,Miami,,['Retail'],,,,"['Agustin Herrán ( &  )', 'Rene Sedano']",
Beckman Coulter,beckmancoulter.com,Subsidiary of Danaher Corporation - Acquisition in 2011,['Danaher Corporation'],1935,,,"Brea, California, United States",California,Brea,,"[' Medical Devices', 'Scientific instruments']","['Ultracentrifuge', 'Laboratory centrifuge', 'analyzers', 'IRIS', 'Synchron/AU', 'platforms', 'Immunochemistry system, VERIS, DxI immunoassay instruments, DxC chemistry instruments, DxH hematology instruments', 'Flow cytometers', 'Biomek', 'Hemoccult', ' CEQ 2000 DNA Analysis System']",,,"['Julie Sawyer Montgomery,   Diagnostics, Suzanne Foster,   Life Sciences', 'Arnold O. Beckman']","XXLarge (10,000+ Employees)"
Endeavor Air,endeavorair.com,,,1985,,,"Minneapolis, Minnesota, US",Minnesota,Minneapolis,,,,,,"['Philip Underwood ()', 'Jim Graham (  &']",
Analog Devices,analog.com,Public company,,1965,ADI,,"Wilmington, Massachusetts, US",Massachusetts,Wilmington,XXLarge ($1B+),['Semiconductors'],['Semiconductors'],,,"['Vincent Roche', 'Ray Stata', '(  and', 'Matthew Lorber']","XXLarge (10,000+ Employees)"
Warren Theatres,,Subsidiary,,,,,"Wichita, Kansas",Kansas,Wichita,,"['Warren Theatres', 'Motion picture theaters']",,,['Regal Warren'],"['Bill Warren', 'Regal Entertainment Group']",
Commonwealth Credit Union,ccuky.org,Credit union,,1951,,,"Frankfort, Kentucky, United States",Kentucky,Frankfort,,['Financial services'],"['Savings', 'mortgages', 'consumer loans', 'checking', 'credit cards', ';', 'business loans']",,,['Karen Harbin'],Medium (200-499 Employees)
Century Theatres,cinemark.com,Subsidiary,['Cinemark Theatres'],,,,"San Rafael, California",California,San Rafael,,['Entertainment (movie theaters)'],,,,"['Raymond W. Syufy, founder', 'Juuko Acram Muhammed']",
Four Roses,fourrosesbourbon.com,Bourbon Whiskey,,,,,,,,,,,,,,
Smashburger,smashburger.com,Subsidiary,['Jollibee Foods Corporation'],2007,,,"Denver, Colorado, United States",Colorado,Denver,XLarge ($200MM-$1B),"['Restaurants', 'Fast casual restaurant']","['Chicken sandwiches', 'Hamburgers', 'Shakes', 'Soft drinks', 'Salads', 'French fries']",,['Smashburger'],"['Rick Schaden & Tom Ryan', 'Tom Ryan']",
Rita%27s Italian Ice,ritasice.com,Private,,1984,,,"Trevose, Pennsylvania",Pennsylvania,,Medium-Large ($50MM-$100MM),"['Dessert shop', 'Quick Service']","['Italian ice', 'frozen custard', 'frozen treats']",,"[""Rita's Italian Ice""]","['Argosy Private Equity', 'Bob Tumolo', '&', 'Linda Chadwick', 'MTN Capital', 'Kirk Griswold']","XLarge (5000-10,000 Employees)"
EarthLink,earthlink.net,Private company,,1994,,,"Atlanta, Georgia, US",Georgia,Atlanta,,['Internet service provider'],"['Internet access, premium email, web hosting and privacy and data security products and services']",,,"[""Kevin M. O'Donnell"", 'Glenn Goad (', 'Reed Slatkin', 'Sky Dayton', 'Mike Toplisek ( )']",Medium-Small (50-199 Employees)
Pita Pit,pitapit.com,Private,['Foodtastic'],1995,,,"Kingston, Ontario, Canada",,Kingston,,['Restaurants'],,,,"['John Sotiriadis and Nelson Lang', 'Parent Company: Foodtastic (September 2021 – present)']",
Ceridian,ceridian.com,Public company,,1992,CDAY,,"Minneapolis, Minnesota, US",Minnesota,Minneapolis,XXLarge ($1B+),['SaaS HCM Software'],,,['Control Data Corporation'],"['David Ossip, co-', 'Leagh Turner, co-']","XLarge (5000-10,000 Employees)"
BridgePort Brewing Company,,,,1984,,,"Portland, Oregon, United States, N, W, N W",Oregon,Portland,,['Alcoholic beverage'],['Beer'],,,"['Richard', 'Nancy Ponzi', 'Carlos Alvarez']",
Health Management Associates (Florida company),,Private,,,,True,"North Naples, Florida, United States",Florida,North,,,,,,,
Frost Brown Todd,frostbrowntodd.com,,,,,,"West Market, Louisville, Kentucky",Kentucky,West,,,,,,,
Progress Rail,progressrail.com,Subsidiary,['Caterpillar Inc.'],1982,,,"Albertville, Alabama",Alabama,Albertville,,['Transportation'],"['Track removal', 'Railroad MOW equipment', 'Rail and other track material sorting', 'Vegetation control equipment', 'Remanufactured trackwork components', 'Signal and communication design, installation and maintenance', 'Remanufactured locomotives and railcars', 'Equipment financing, leasing and rental', 'Rail and other track materials', 'Special trackwork', 'Rail welding equipment', 'Locomotive and railcar repair and refurbishment', 'Mobile welding', 'Recycling', 'Signals and communication products', 'List']","['Progress Rail Inspection & Information Systems Srl & GmbH', 'Progress Rail Leasing Corporation', 'Rolling Stock', 'MGE – Equipamentos e Servicos Ferroviarios Ltda.', 'Infrastructure', 'Electro-Motive Diesel', 'Lincoln Industries', 'List']",,"['Billy Ainsworth', 'John Newman']","XLarge (5000-10,000 Employees)"
O%27Neal Steel,onealsteel.com,Private,,1921,,,"Birmingham, Alabama, USA",Alabama,Birmingham,,['Metals Service Center'],"['Carbon, Alloy, Stainless Steel, and Aluminum']",,,"['Tate Forrester', '&']",Medium-Large (500-999 Employees)
Bowles Hollowell Connor %26 Co.,,Acquired,,1975,,True,"Charlotte, North Carolina",North Carolina,Charlotte,Medium-Small ($10MM- $50MM),['Investment bank'],"['Mergers and acquisitions', 'Private equity']",,,,
Alcoa,alcoa.com,Public company,,1888,AA,,"Pittsburgh, Pennsylvania, US",Pennsylvania,Pittsburgh,XXLarge ($1B+),['Metals'],"['Bauxite', 'Aluminum', 'Alumina']",,,"['Michael Morris', 'Roy Harvey', 'Charles Martin Hall']","XXLarge (10,000+ Employees)"
"Levi, Ray %26 Shoup",lrs.com,Privately held,,1979,,,"West Monroe Street, Springfield, Illinois, USA",Illinois,West Monroe,,"['Computer software', 'IT services', 'IT education, training and certification', 'IT consulting', 'Website design and hosting', 'Large boat services', 'Computer hardware']",,"['LRS Consulting Services', 'EOM', 'LRS Web Solutions', 'LRS Education Services', 'LRS Retirement Solutions', 'LRS IT Solutions', 'Central Illinois Security', 'Diversified Yacht Services']",,"['Roger Ray', 'Richard H. Levi,   and', 'Bob Shoup', 'Richard H. Levi']",Medium-Large (500-999 Employees)
The Coca-Cola Company,coca-colacompany.com,Public,,1892,KO,,"Atlanta, Georgia, US",Georgia,Atlanta,XXLarge ($1B+),['Beverage'],['List of Coca-Cola brands'],['List of the Coca-Cola Company subsidiaries'],,"['Brian Smith (president and )', '(chairman and', 'John Stith Pemberton', '(as The Coca-Cola Company)', 'Asa Griggs Candler', '(as Coca-Cola)', 'James Quincey']","XXLarge (10,000+ Employees)"
American Civil Rights Union,theacru.org,501(c) charitable organization,,,,,"Alexandria, Virginia",Virginia,Alexandria,,,,,,['Robert B. Carleson'],
Wolfspeed,wolfspeed.com,Public company,,1987,WOLF,,"Research Triangle Park, North Carolina",North Carolina,Triangle,XXLarge ($1B+),['Electronics'],['Wide-bandgap semiconductors'],,,,"Large (1,000-4,999 Employees)"
Michelin,michelin.com,Public SCA,,1889,ML,,"ClermontFerrand, France",,,XXLarge ($1B+),"['Auto', 'truck parts']","[' travel assistance services', 'Tyres']","['Camso', 'ViaMichelin', 'Masternaut', 'TCi Tire Centers', 'Multistrada Arah Sarana', 'BFGoodrich', 'ATS Euromaster']",,"['André Michelin', 'Yves Chapot (General Manager, )', 'Édouard Michelin', '(  of the Supervisory Board)', 'Florent Menegaux (Managing General Partner', 'Michel Rollier']","XXLarge (10,000+ Employees)"
Lake Michigan Credit Union,lmcu.org,Credit union,,1933,,,"Grand Rapids, Michigan, United States",Michigan,Grand Rapids,,,,,,['Sandra Jelinski'],
Rax Restaurants,raxroastbeef.com,Private,,1967,,,"Ironton, Ohio, US",Ohio,Ironton,,['Fast food'],"['salad bar', ' shakes, baked potatoes, fries, soft drinks, wraps, sandwiches, chicken', 'Roast beef sandwiches']",,"['JAX Roast Beef', 'RIX Roast Beef', 'Rax Roast Beef']","['Jack Roschman', 'Rich Donohue', 'Jason Donahue (']",
Dart Container,dartcontainer.com,Private,,1960,,,"Mason, Michigan",Michigan,Mason,XXLarge ($1B+),['Single-use food service packaging'],"['Foam food service products', 'Plastic cups & containers', 'Paper cups']",,,"['Kenneth Dart', 'William A. Dart', 'Robert C. Dart', '']","XXLarge (10,000+ Employees)"
Eaton Corporation,eaton.com,Public limited company,,1911,ETN,,"Dublin, Ireland",,Dublin,XXLarge ($1B+),['Conglomerate'],,"['Industrial Sector', '- Vehicle', '- Golf Pride', '- eMobility', '- Aerospace', 'Electrical Sector', '- Filtration']",,"['Electrical Sector), Paulo Ruiz (  &', 'Industrial Sector)', '), Thomas Okray', '), Heath Monesmith (  &', 'Craig Arnold', '   &', 'Viggo Torbensen', 'Joseph Oriel Eaton II']","XXLarge (10,000+ Employees)"
Smithfield%27s Chicken %27N Bar-B-Q,scnbnc.com,,,1977,,,"Smithfield, North Carolina, United States",North Carolina,Smithfield,,['Fast food'],,,,"['Junius Moore', 'Maggie Moore']",
"Giant Food of Carlisle, Pennsylvania",giantfoodstores.com,Subsidiary of Ahold Delhaize,['Ahold Delhaize'],1923,,,"Carlisle, Pennsylvania, US",Pennsylvania,Carlisle,,['Retail'],"['Grocery', 'Online shopping and home delivery', 'Event planning', 'Money services']","[""Martin's Foods"", 'Giant Heirloom Market']",['Giant Food Stores'],"['John Ruane', 'David Javitch']","XXLarge (10,000+ Employees)"
Don Pablo%27s,,Subsidiary,,1985,,True,"San Antonio, Texas",Texas,San Antonio,,['Restaurants'],"['Tacos', 'Enchiladas', 'Burritos', 'Quesadillas', 'Fajitas']",,,['Food Management Partners'],
Episcopal Diocese of Southern Ohio,,,,,,,,,,,,,,,,
Necco,,Private company,,1847,,True,"Revere, Massachusetts",Massachusetts,Revere,,['Confectionery'],"[' among others', 'Necco Wafers', 'Haviland Thin Mints', 'Sweethearts', 'Clark Bar']",,"['Chase and Company, Ball and Fobes, Bird, Wright and Company']",,Medium (200-499 Employees)
Vanderbilt University Medical Center,vanderbilthealth.com,Teaching,,,,,,,,,,,,,,
Airpush,airpush.com,Private,,2010,,,"Los Angeles, California, United States",California,Los Angeles,,"['Advertising', 'Mobile']",,,,"['Asher Delug', '(Co-founder and )', 'Inman Breaux', '(Co-founder and']",Small (10-49 Employees)
